pCD3z(),pSLP76(),pErk(),pS6()
7.59,7.62,5.75,7.62
18,6.59,0.26,5.41
8.18,11.64,6.72,8.39
6.63,2.88,2.6,12.47
4.29,12.29,5.11,4.16
18.54,23.02,10.78,14.14
14.98,21.25,6.18,9.92
16.76,38.07,16.21,29.8
5.77,39.4,12.47,6.1
5.26,4.8,14.53,24.7
16.09,8.61,3.34,6.62
10.55,8.68,3.45,10.21
13.99,14.61,21.29,25.76
7.73,9.28,4.04,14.48
7.81,2.02,4.56,8.78
17.23,23.14,11.83,8.94
15.09,10.06,8.18,43.88
1.71,3.06,0.24,18.45
10.33,10.82,5.87,4.75
5.07,13.64,3.18,8.87
15.17,27.31,9.14,33.37
4.42,10.11,4.86,8.86
10.43,5.54,3.07,9.86
8.07,3.4,7,7.91
5.65,1.51,2.22,5.91
3.46,3.75,3.2,2.6
10.31,4.42,4.28,19.85
8.42,20.06,6.72,3.47
13.02,39.02,10.53,22.37
25.04,17.18,8.06,23.77
3.34,6.91,8.16,5.39
9.04,17.3,8.69,11.16
20.97,11.72,11.1,42.47
11.77,4,1.1,6.66
20.62,12.56,20.02,48.25
3.7,9.81,6.39,14.31
7.76,9.2,2.93,8.96
24.49,19.22,2.26,6.53
12.48,6.12,2.6,5.06
20.1,7.67,3.1,13.12
2.76,2.79,1.51,14.59
15.1,9.34,2.07,4.35
3.11,15.34,11,25.92
2.35,1.44,2.58,13.15
12.18,8.36,2.47,13.28
5.01,1.03,1.99,84.3
29.11,40.6,12.41,9.62
12.22,12.37,12.63,20.97
1.6,2.82,3.69,4.57
9.55,8.07,4.98,10.92
2.91,5.74,7.61,20.06
5.9,4.2,5.15,13.84
6.56,7.26,5.26,11.04
19.28,25.27,11.22,48.68
8.94,14.98,5.21,7.07
12.26,14.2,7.04,8.17
9.48,1.46,1.05,4.2
3.29,8.86,5.02,28.95
9.44,3.22,2.17,3.88
16.11,6.09,45.67,182.31
3.6,18.94,10.31,33.83
9.7,28.54,10.64,53.25
16.07,6.6,5.22,8.08
1.08,-0.09,1.6,11.53
23.49,7.14,0.34,7.65
4.98,19.37,11.01,16.98
4.04,0.41,2.95,9.41
6.89,6.05,1.41,6.5
7.58,29.36,8.98,7.28
8.73,13.08,2.05,6.59
19.92,23.43,14.87,33.01
2.08,6.37,6.1,26.15
0.22,2.28,0.14,12.44
22.76,28.77,16.96,18.29
6.16,3.05,2.76,16
22.44,14.85,5.29,20.02
6.63,2.28,7.56,36.8
7.13,6.33,2.6,4.75
28.47,9.5,3.07,14.09
7.71,6.2,14.53,23.93
3.79,1.95,3.65,2.74
27.81,52.82,15.29,17.69
10.58,5.15,2.55,2.11
6.59,9.09,6.01,6.57
-0.04,0.95,2.8,22.15
19.42,15.78,9.34,21.3
11.44,13.51,31.34,53.84
10.06,11.63,14.5,35.64
15.97,15.6,7.57,36.96
42.08,44.2,20.92,23.91
3.84,7.08,10.18,29.54
1.82,9.12,7.07,34.92
8.53,13.49,5.36,6.03
20.62,0.88,1.02,21.88
10.78,14.08,1.18,49.55
3.24,1.92,0.4,2.78
6.98,16.99,6.07,8.63
17.24,5.46,3.14,9.18
12.78,1.2,1.03,11.88
7.19,11.04,34.04,204.69
