pCD3z(),pSLP76(),pErk(),pS6()
0.43,15.21,17.56,21.23
7.35,26.42,11.31,10.6
8.77,8.25,3.15,14.37
23.55,16.63,8.01,17.2
16.27,16.69,7.12,12.52
9.16,3.31,0.52,8.76
4.79,18.86,13.04,11.16
3.84,12.01,11.44,14.21
7.61,10.99,9.52,18.79
38.1,19.95,-0.08,6.7
16,7.24,7.45,25.51
12.96,19.85,8.05,7.91
9.25,23.07,13.03,26.7
8.32,6.44,4.89,45.08
12.82,18.54,9.89,29.15
10.08,4.54,1.58,8.79
25.48,16.43,8.57,12.26
5.31,2.73,0.11,0.18
7.71,15.71,7.64,14.84
16.07,13.91,6.55,2.49
13.12,14.1,9.55,21.28
17.02,40.84,10.07,18.55
25.51,6.11,2.14,7.23
2.39,3.47,2.39,13.62
6.54,23.72,11.29,9.62
8.9,18.99,20.67,985.11
2.93,10.28,13.1,71.6
24.59,14.08,4.37,34.39
7.84,3.14,2.9,5.87
4.69,58.5,29.45,51.78
14.04,32.3,9.3,13.58
9.3,1.34,3.36,2.08
2.75,4.41,2.65,9
8.8,4.07,1.43,22.96
14.56,24.95,4.7,14.97
6.31,4.39,3.7,9.59
13.06,6.93,9.01,29.53
22.74,26.6,11.98,11.84
3.9,1.15,2.48,9.86
30.08,31.24,11.34,13.43
8.86,16.5,5.49,7.3
11.63,3.3,4.31,10.59
1.35,3.18,0.34,7.26
6.5,13.2,7.88,14.97
18.61,2.32,1.4,1.43
5.44,3.04,0.05,5.41
20.67,18.21,5.47,18.49
4.8,1.61,0,4.31
53.39,18.93,8.43,1.2
11.74,13.86,6.19,24.23
7.05,4.11,3.53,2.91
6.76,10.46,-0.05,0.67
23.54,2.68,3.13,10.54
2.67,2.4,2.97,5.89
3.93,7.17,6.26,16.14
0.08,22.89,8.46,35.62
35.34,14.23,7.69,7.36
3.11,10.74,4.76,11.36
1.56,3.71,2.43,9.42
5.51,3.06,1.9,2.28
3.75,8.19,1.57,49.16
16.83,6.19,12.68,13.55
52.33,9.35,3.87,10.56
16.26,13.72,7.67,13.88
2,12.77,3.12,13.5
8.52,5.35,10.19,54.26
20.11,28.26,16.25,20.66
6.85,14.99,13.22,21.47
5.11,10.42,5.28,20.58
9.18,37.89,15.64,8.17
18.02,10.89,10.9,8.62
6.94,-0.24,1.67,19.84
14.08,15.9,13.33,21.88
33.58,19.48,7.4,30.14
26.34,10.41,6.45,18.33
9.16,6.14,2.13,19.83
9.89,2.94,4.96,15.62
6.95,13.12,9.02,15.76
2.06,3.35,3.17,8.07
4.85,21.88,13.02,22.96
1.57,21,2.59,-0.1
11.55,17.65,4.41,16.3
4.23,2.98,4.16,11.59
4.06,8.07,3.84,4.85
13.03,17.96,6.89,21.55
1.43,16.67,9.32,14.98
14.65,10.02,3.06,16.18
2.81,15.59,8.29,4.87
18.69,3.2,-0.78,2.76
11.22,13.58,3.5,5.26
3.42,5.63,2.78,3.71
1.59,1.38,3.35,18.78
2.05,45.51,9.47,3
9.91,27.23,7.8,27.13
5.45,0.89,1.93,0.14
4.51,21.1,20.97,42.67
23.68,16.38,5.18,4.94
5.08,32.51,9.16,27.85
28.22,31.67,12.02,107.41
8.82,4.76,3.21,18.17
12.41,3.82,4.7,5.71
9.37,15.66,6.1,20.56
14.74,2.19,9.1,19.11
4.03,4.55,1.95,14.02
18.19,21.43,4.22,9.82
0.2,9.67,4.51,6.02
7.7,7.7,3.77,7.46
31.17,33.67,17.02,30.8
2.66,5.88,1.75,1.59
10,9.13,2.11,9.11
21.36,29.09,8.15,19.65
54.65,6.99,8.25,11.89
20.56,8.46,6.96,10.93
9.22,25.94,10.1,21.96
4.74,16.89,13.2,8.12
6.88,36.59,21.25,21.7
9.28,3.53,0.73,18.87
10.14,19.76,6.1,5.07
3.89,3.58,12.3,153.16
3.67,25.54,13.06,17.43
10.85,43.22,11.55,24.03
12,4.55,1.25,9.95
7.33,1.33,0.29,16.58
7.82,19.01,11.29,22.28
12.8,14.45,5.58,5.57
5.93,3.08,3.69,7.85
9.76,8.13,1.26,15.11
12.55,4.83,0.35,16.36
8.21,14.31,12.19,9.22
13.95,9.93,1.62,4.71
14.27,20.88,14.24,22.34
2,2.64,3.52,4.39
3.4,4.18,2.29,1.19
16.72,6.23,8.23,9.47
8.54,2.2,5.6,15.52
8.38,8.08,3.79,9.36
9.15,8.79,4.37,10.38
7.18,6.08,4.51,34.17
6.54,31.89,1.85,13.76
13.79,12.29,8.78,12.25
19.15,8.38,4.97,3.29
12.56,5.53,13.15,25.51
8.23,4.55,10.89,15.42
7.63,17.71,7.06,12.09
2.84,4.24,4.01,5.46
3.65,17.18,2.29,3.68
3.64,15.04,5.23,8.15
2.75,9.37,7.15,16.59
9.81,3.83,1.33,14.24
3.08,1.96,2.52,8.46
17.36,4.01,2.99,11.43
2.12,14.6,3.48,7.94
8.3,3.43,4.81,11.94
33.38,8.84,3.36,17.01
15.08,11.83,4.27,8.37
8.19,1.78,2.08,15.29
4.57,16.94,13.36,5.5
33.05,19.09,5.83,8.34
6.02,7.54,9.9,16.98
3.49,16.34,11.93,12.87
6.34,1.83,3.54,13.05
7.81,16.71,6.05,178.18
8.04,0.07,5.64,10.2
12.55,3.45,5.19,14.92
11.25,5.41,4.82,11.01
2.43,12.79,2.09,1.26
10.55,16.59,11.55,16.87
10.82,13.14,24.6,38.29
5.01,13.27,18.94,19.48
11.1,4.64,0.04,-0.02
6.22,15.65,8.88,25.12
24.62,1.81,1.98,6.42
11.22,8.94,4.75,26.27
6.26,4.16,1.38,12.53
13.4,1.07,10.19,13.05
7.85,10.64,6.09,34.45
5.1,4.72,1.7,6.43
2.78,7.67,1.23,3
8.74,11.51,0.67,15.55
13.85,30.12,11.52,21.57
12.11,9.96,8.83,19.56
1.57,14.17,5.74,4.5
2.66,8.6,6.2,9.56
10.12,19.81,8.4,9.11
88.99,13.5,3.75,5.47
5.62,16.04,3.49,4.35
3.11,11.6,0.39,-0.46
0.87,4.88,1.05,5.92
8.72,9.28,4.04,5.51
9.31,28.3,12.78,16.62
4.77,16.06,5.18,14.11
14.62,12.84,1.66,10.85
6.04,3.98,4.59,7.13
16.87,12.79,5.97,23.35
9.12,8.9,4.77,6.28
7.59,5.62,1.75,1.62
19,9.59,2.26,5.41
12.18,12.64,5.72,3.39
5.63,3.88,1.6,13.47
2.29,13.29,7.11,5.16
20.54,22.02,6.78,13.14
14.98,23.25,6.18,14.92
16.76,38.07,17.21,25.8
11.77,43.4,14.47,7.1
2.26,3.8,14.53,20.7
17.09,8.61,4.34,6.62
4.55,9.68,0.45,7.21
13.99,17.61,18.29,23.76
