pCD3z(),pSLP76(),pErk(),pS6()
12.77,13.6,6.61,29.37
10.56,6.96,2.82,11.68
13.71,1.4,2.92,21.94
25.78,6.75,4.34,11.79
12.72,6.47,7.25,9.07
4.82,11.35,9.73,34.63
18.44,32.78,10.38,19.15
7.2,16.3,8.07,13.99
10.34,2.95,0.01,8.08
2.11,3.84,3.43,6.2
8.9,27.47,18.87,18.15
6.89,10.24,7,18.78
3.63,25.45,8.62,14.43
48.72,7.7,11.02,26.77
10.42,16.48,8.34,21.34
4.46,4.91,1.97,5.26
13.95,12.89,12.62,26.71
15.94,6.09,10.67,15.36
9.83,6.94,8.14,36.57
5.11,31.03,16,25.01
30.74,8.69,5.68,24.72
5.76,32.25,22.82,29.93
12.85,3.38,5.99,11.15
2.43,17.21,20.56,28.23
3.35,20.42,4.31,7.6
9.77,11.25,3.15,12.37
18.55,13.63,9.01,23.2
19.27,22.69,11.12,8.52
10.16,1.31,1.52,12.76
2.79,16.86,11.04,13.16
5.84,15.01,6.44,11.21
7.61,9.99,7.52,15.79
41.1,18.95,-0.08,6.7
16,5.24,6.45,30.51
10.96,20.85,6.05,4.91
7.25,19.07,12.03,30.7
9.32,7.44,3.89,38.08
11.82,23.54,14.89,22.15
7.08,4.54,0.58,6.79
25.48,16.43,10.57,13.26
3.31,4.73,2.11,1.18
5.71,10.71,4.64,14.84
24.07,9.91,6.55,4.49
12.12,14.1,6.55,14.28
21.02,33.84,16.07,21.55
24.51,10.11,7.14,12.23
4.39,3.47,4.39,14.62
8.54,21.72,14.29,13.62
11.9,19.99,12.67,843.11
2.93,12.28,6.1,60.6
24.59,14.08,5.37,33.39
9.84,2.14,1.9,6.87
2.69,42.5,28.45,49.78
9.04,36.3,14.3,14.58
7.3,3.34,5.36,8.08
3.75,2.41,2.65,6
8.8,6.07,8.43,21.96
12.56,22.95,5.7,9.97
11.31,5.39,0.7,7.59
12.06,5.93,5.01,23.53
17.74,22.6,14.98,26.84
7.9,4.15,1.48,9.86
24.08,29.24,14.34,13.43
7.86,10.5,5.49,5.3
16.63,3.3,8.31,16.59
3.35,4.18,2.34,9.26
3.5,12.2,8.88,15.97
19.61,2.32,4.4,7.43
5.44,2.04,3.05,9.41
23.67,17.21,5.47,7.49
1.8,3.61,2,5.31
51.39,20.93,10.43,12.2
7.74,13.86,4.19,24.23
5.05,4.11,3.53,3.91
6.76,12.46,0.95,-0.33
21.54,1.68,2.13,5.54
6.67,0.4,1.97,1.89
3.93,6.17,4.26,12.14
0.08,18.89,11.46,40.62
31.34,10.23,5.69,6.36
4.11,7.74,4.76,15.36
2.56,0.71,2.43,13.42
7.51,3.06,-0.1,2.28
3.75,8.19,3.57,42.16
19.83,7.19,7.68,11.55
41.33,11.35,6.87,9.56
16.26,11.72,3.67,12.88
5,11.77,6.12,14.5
13.52,9.35,8.19,51.26
20.11,23.26,14.25,23.66
6.85,12.99,10.22,11.47
11.11,10.42,8.28,25.58
13.18,34.89,16.64,15.17
14.02,13.89,5.9,5.62
5.94,0.76,1.67,12.84
12.08,11.9,4.33,20.88
34.58,28.48,13.4,40.14
22.34,6.41,4.45,11.33
8.16,8.14,2.13,18.83
11.89,4.94,0.96,15.62
5.95,12.12,8.02,12.76
-0.94,4.35,2.17,4.07
4.85,18.88,19.02,37.96
1.57,20,5.59,4.9
10.55,15.65,10.41,25.3
8.23,2.98,4.16,8.59
7.06,10.07,3.84,2.85
16.03,17.96,8.89,28.55
7.43,15.67,4.32,19.98
13.65,8.02,7.06,19.18
1.81,14.59,4.29,3.87
16.69,3.2,1.22,0.76
10.22,13.58,5.5,7.26
3.42,6.63,3.78,3.71
2.59,0.38,2.35,17.78
4.05,34.51,12.47,7
10.91,27.23,10.8,27.13
4.45,0.89,0.93,2.14
9.51,23.1,26.97,48.67
20.68,17.38,10.18,24.94
3.08,29.51,10.16,23.85
31.22,35.67,11.02,111.41
9.82,3.76,3.21,19.17
6.41,1.82,2.7,9.71
5.37,10.66,9.1,24.56
12.74,2.19,10.1,17.11
2.03,1.55,0.95,16.02
18.19,16.43,6.22,9.82
1.2,12.67,8.51,11.02
8.7,6.7,3.77,12.46
43.17,41.67,23.02,49.8
2.66,3.88,4.75,3.59
9,13.13,4.11,11.11
22.36,31.09,9.15,26.65
49.65,4.99,5.25,9.89
19.56,11.46,6.96,9.93
9.22,22.94,10.1,20.96
5.74,16.89,8.2,10.12
6.88,34.59,29.25,30.7
12.28,5.53,-0.27,17.87
10.14,14.76,7.1,12.07
5.89,3.58,9.3,142.16
6.67,21.54,6.06,13.43
9.85,44.22,15.55,29.03
11,4.55,1.25,7.95
5.33,1.33,0.29,17.58
6.82,22.01,11.29,31.28
11.8,8.45,2.58,0.57
4.93,4.08,2.69,5.85
8.76,8.13,3.26,16.11
14.55,5.83,0.35,14.36
7.21,9.31,6.19,9.22
10.95,10.93,1.62,0.71
18.27,17.88,17.24,25.34
1,0.64,0.52,0.39
5.4,4.18,4.29,6.19
21.72,8.23,9.23,11.47
7.54,5.2,4.6,19.52
8.38,7.08,5.79,14.36
8.15,4.79,7.37,12.38
8.18,5.08,5.51,30.17
7.54,22.89,10.85,16.76
10.79,5.29,7.78,20.25
16.15,6.38,2.97,6.29
9.56,1.53,10.15,28.51
5.23,3.55,8.89,19.42
4.63,15.71,5.06,11.09
2.84,3.24,4.01,7.46
5.65,19.18,6.29,6.68
2.64,12.04,5.23,8.15
1.75,10.37,7.15,18.59
7.81,2.83,1.33,18.24
3.08,1.96,2.52,5.46
24.36,4.01,-0.01,15.43
4.12,7.6,2.48,3.94
8.3,2.43,3.81,4.94
35.38,8.84,4.36,23.01
11.08,7.83,1.27,9.37
8.19,2.78,2.08,18.29
4.57,17.94,8.36,10.5
29.05,15.09,10.83,10.34
4.02,7.54,9.9,26.98
4.49,12.34,12.93,13.87
4.34,2.83,8.54,17.05
7.81,24.71,13.05,167.18
14.04,0.07,5.64,6.2
19.55,6.45,5.19,20.92
8.25,5.41,7.82,15.01
6.43,18.79,-0.91,2.26
9.55,21.59,8.55,19.87
9.82,9.14,21.6,46.29
7.01,13.27,16.94,33.48
11.1,6.64,1.04,0.98
7.22,17.65,6.88,20.12
22.62,2.81,4.98,10.42
9.22,10.94,3.75,25.27
7.26,9.16,2.38,15.53
9.4,4.07,9.19,16.05
7.85,8.64,7.09,32.45
7.1,6.72,3.7,5.43
2.78,5.67,2.23,3
9.74,12.51,7.67,19.55
15.85,24.12,11.52,19.57
13.11,7.96,6.83,22.56
1.57,8.17,6.74,7.5
5.66,9.6,6.2,12.56
6.12,18.81,14.4,20.11
75.99,15.5,9.75,7.47
