pCD3z(),pSLP76(),pErk(),pS6()
22.78,10.75,8.34,6.79
11.72,2.47,7.25,5.07
7.82,9.35,12.73,31.63
14.44,15.78,20.38,16.15
9.2,10.3,12.07,13.99
9.34,2.95,3.01,12.08
1.11,4.84,1.43,6.2
6.9,15.47,11.87,16.15
5.89,4.24,5,15.78
5.63,16.45,15.62,18.43
44.72,17.7,11.02,20.77
13.42,11.48,10.34,44.34
2.46,7.91,6.97,2.26
14.95,7.89,10.62,22.71
18.94,8.09,1.67,15.36
5.83,6.94,5.14,41.57
4.11,23.03,16,17.01
23.74,8.69,8.68,30.72
6.76,17.25,14.82,21.93
8.85,3.38,3.99,13.15
0.43,5.21,14.56,19.23
2.35,14.42,11.31,13.6
13.77,4.25,5.15,18.37
15.55,11.63,10.01,15.2
19.27,10.69,6.12,15.52
9.16,3.31,2.52,11.76
3.79,11.86,6.04,4.16
5.84,10.01,6.44,11.21
6.61,5.99,2.52,21.79
29.1,17.95,7.92,10.7
15,6.24,12.45,28.51
11.96,13.85,8.05,8.91
9.25,14.07,12.03,31.7
10.32,5.44,2.89,50.08
8.82,16.54,4.89,28.15
6.08,3.54,4.58,11.79
19.48,17.43,12.57,14.26
5.31,1.73,1.11,1.18
9.71,6.71,5.64,19.84
20.07,12.91,6.55,8.49
8.12,14.1,5.55,19.28
23.02,21.84,18.07,22.55
23.51,8.11,9.14,9.23
1.39,1.47,4.39,8.62
9.54,15.72,9.29,11.62
5.9,15.99,9.67,1152.11
3.93,7.28,6.1,84.6
21.59,13.08,5.37,42.39
8.84,5.14,1.9,6.87
2.69,23.5,31.45,50.78
9.04,26.3,12.3,16.58
6.3,4.34,6.36,4.08
0.75,2.41,1.65,9
6.8,4.07,4.43,26.96
10.56,15.95,8.7,21.97
7.31,5.39,0.7,12.59
10.06,7.93,3.01,31.53
18.74,14.6,9.98,17.84
5.9,2.15,2.48,13.86
24.08,22.24,21.34,17.43
9.86,5.5,9.49,11.3
12.63,3.3,7.31,12.59
1.35,1.18,3.34,8.26
4.5,5.2,7.88,15.97
20.61,2.32,7.4,3.43
1.44,4.04,2.05,6.41
21.67,15.21,5.47,18.49
2.8,0.61,1,7.31
37.39,26.93,14.43,9.2
9.74,11.86,5.19,30.23
5.05,2.11,3.53,4.91
6.76,6.46,5.95,2.67
20.54,5.68,3.13,7.54
4.67,0.4,1.97,4.89
2.93,6.17,6.26,16.14
1.08,11.89,10.46,35.62
26.34,21.23,5.69,8.36
6.11,3.74,5.76,13.36
3.56,3.71,0.43,11.42
5.51,3.06,1.9,4.28
4.75,2.19,4.57,63.16
17.83,6.19,7.68,9.55
63.33,13.35,-0.13,8.56
15.26,13.72,4.67,17.88
8,5.77,5.12,14.5
6.52,7.35,5.19,64.26
18.11,28.26,12.25,16.66
9.85,8.99,11.22,9.47
8.11,3.42,6.28,24.58
7.18,19.89,22.64,11.17
16.02,6.89,4.9,11.62
7.94,3.76,1.67,19.84
11.08,7.9,11.33,25.88
26.58,20.48,10.4,39.14
22.34,11.41,3.45,19.33
8.16,6.14,4.13,26.83
8.89,5.94,3.96,16.62
8.95,4.12,6.02,20.76
1.06,1.35,1.17,8.07
5.85,11.88,12.02,22.96
2.57,7,4.59,9.9
8.55,9.65,8.41,24.3
7.23,2.98,-0.84,12.59
6.06,7.07,5.84,1.85
12.03,15.96,10.89,21.55
4.43,11.67,4.32,17.98
11.65,11.02,6.06,20.18
3.81,8.59,7.29,8.87
16.69,8.2,3.22,4.76
7.22,8.58,7.5,8.26
2.42,4.63,1.78,4.71
0.59,2.38,3.35,13.78
2.05,24.51,16.47,14
7.91,18.23,14.8,30.13
4.45,-0.11,2.93,2.14
4.51,14.1,17.97,36.67
17.68,13.38,12.18,11.94
3.08,11.51,13.16,31.85
24.22,21.67,16.02,143.41
8.82,2.76,2.21,22.17
6.41,3.82,3.7,5.71
8.37,10.66,4.1,18.56
10.74,5.19,7.1,13.11
3.03,1.55,2.95,19.02
16.19,14.43,3.22,17.82
0.2,6.67,8.51,5.02
5.7,6.7,4.77,6.46
35.17,33.67,22.02,41.8
0.66,4.88,1.75,3.59
7,10.13,1.11,12.11
20.36,19.09,14.15,32.65
45.65,16.99,6.25,14.89
16.56,7.46,4.96,9.93
11.22,14.94,14.1,25.96
5.74,11.89,7.2,6.12
3.88,19.59,23.25,21.7
12.28,4.53,3.73,19.87
5.14,11.76,11.1,5.07
5.89,0.58,7.3,181.16
6.67,7.54,10.06,24.43
9.85,22.22,21.55,44.03
11,1.55,3.25,11.95
3.33,0.33,3.29,17.58
8.82,11.01,11.29,26.28
7.8,5.45,5.58,9.57
6.93,3.08,1.69,7.85
7.76,3.13,4.26,18.11
15.55,6.83,4.35,16.36
7.21,9.31,8.19,5.22
11.95,7.93,4.62,3.71
15.27,15.88,10.24,22.34
0,1.64,1.52,1.39
3.4,4.18,2.29,5.19
20.72,6.23,8.23,6.47
4.54,5.2,3.6,15.52
5.38,10.08,3.79,12.36
7.15,8.79,8.37,12.38
3.18,6.08,7.51,36.17
10.54,14.89,9.85,25.76
11.79,5.29,7.78,12.25
16.15,3.38,2.97,9.29
9.56,2.53,13.15,23.51
6.23,4.55,5.89,11.42
4.63,8.71,16.06,12.09
3.84,5.24,4.01,4.46
4.65,13.18,7.29,10.68
4.64,7.04,6.23,11.15
2.75,4.37,6.15,17.59
10.81,3.83,1.33,18.24
1.08,1.96,3.52,8.46
23.36,4.01,-0.01,17.43
3.12,5.6,8.48,8.94
10.3,3.43,3.81,10.94
26.38,14.84,5.36,23.01
10.08,5.83,6.27,10.37
8.19,2.78,4.08,13.29
2.57,16.94,7.36,6.5
26.05,18.09,7.83,14.34
7.02,4.54,11.9,12.98
4.49,5.34,10.93,12.87
1.34,0.83,2.54,14.05
4.81,17.71,16.05,226.18
12.04,0.07,5.64,6.2
20.55,7.45,6.19,20.92
10.25,4.41,6.82,8.01
5.43,6.79,9.09,5.26
10.55,8.59,9.55,20.87
10.82,5.14,14.6,35.29
6.01,9.27,13.94,19.48
10.1,4.64,2.04,1.98
7.22,9.65,12.88,27.12
20.62,6.81,0.98,9.42
9.22,5.94,7.75,29.27
6.26,2.16,3.38,18.53
11.4,1.07,12.19,6.05
9.85,8.64,4.09,37.45
5.1,1.72,6.7,3.43
4.78,2.67,5.23,4
8.74,8.51,6.67,19.55
16.85,10.12,12.52,36.57
