pCD3z(),pSLP76(),pErk(),pS6()
6.7,7.7,4.77,1.46
42.17,44.67,20.02,38.8
2.66,8.88,3.75,2.59
11,13.13,3.11,15.11
20.36,34.09,11.15,27.65
50.65,4.99,3.25,10.89
16.56,7.46,6.96,3.93
12.22,24.94,13.1,16.96
6.74,15.89,8.2,7.12
4.88,34.59,29.25,28.7
12.28,4.53,4.73,17.87
7.14,15.76,3.1,6.07
1.89,2.58,9.3,149.16
7.67,22.54,9.06,15.43
8.85,45.22,11.55,33.03
12,4.55,0.25,7.95
6.33,1.33,1.29,16.58
5.82,25.01,4.29,16.28
8.8,14.45,1.58,3.57
7.93,1.08,1.69,9.85
11.76,10.13,2.26,13.11
15.55,6.83,3.35,15.36
10.21,12.31,3.19,3.22
11.95,8.93,5.62,6.71
18.27,21.88,21.24,18.34
3,1.64,0.52,1.39
6.4,4.18,3.29,4.19
21.72,7.23,11.23,11.47
9.54,5.2,3.6,23.52
7.38,11.08,2.79,9.36
9.15,8.79,4.37,13.38
10.18,5.08,3.51,30.17
8.54,24.89,10.85,19.76
12.79,11.29,9.78,11.25
14.15,5.38,3.97,10.29
7.56,4.53,10.15,29.51
7.23,2.55,15.89,32.42
7.63,16.71,11.06,13.09
2.84,7.24,4.01,2.46
4.65,19.18,8.29,9.68
2.64,11.04,3.23,6.15
2.75,9.37,9.15,21.59
8.81,2.83,4.33,16.24
2.08,1.96,2.52,5.46
19.36,5.01,0.99,13.43
5.12,10.6,6.48,8.94
10.3,3.43,6.81,12.94
30.38,3.84,3.36,18.01
12.08,6.83,3.27,18.37
7.19,3.78,3.08,16.29
7.57,16.94,11.36,6.5
29.05,21.09,10.83,14.34
7.02,7.54,10.9,23.98
2.49,13.34,14.93,28.87
2.34,1.83,5.54,12.05
5.81,22.71,9.05,177.18
9.04,0.07,3.64,6.2
15.55,5.45,9.19,25.92
6.25,8.41,10.82,14.01
6.43,12.79,9.09,5.26
12.55,24.59,4.55,19.87
8.82,12.14,28.6,52.29
8.01,8.27,19.94,20.48
8.1,4.64,2.04,1.98
7.22,17.65,14.88,26.12
28.62,2.81,2.98,6.42
10.22,8.94,3.75,21.27
