P1(),P2(),P3()
16.1486,3.80765,5.72449
7.74745,3.29338,3.89824
4.32223,7.26029,7.35207
26.1576,18.8045,26.3676
16.8879,7.53376,12.0697
9.07176,4.31341,7.20088
4.47359,1.44706,1.3284
13.9949,4.56298,13.0903
31.4462,18.0749,31.5771
4.58688,1.23084,8.13432
12.5284,1.69303,8.42339
40.8263,16.048,25.1883
13.9322,11.1468,16.0665
4.42764,3.25512,1.97245
24.8651,16.1127,10.9027
-0.567467,6.0908,28.924
-0.041453,4.11657,4.69618
7.45118,1.11933,2.56733
16.7475,2.14624,8.9763
23.1098,12.7292,11.3759
16.8425,12.4058,8.88842
11.1101,6.17088,3.18243
11.902,11.3535,10.5923
4.86288,5.51377,6.99663
13.7748,0.482816,3.27798
5.96941,5.09496,7.23878
14.2664,4.82917,11.6399
7.76925,5.17756,3.32405
32.2184,13.6166,24.0569
21.8439,23.5296,13.9128
17.8765,6.28783,5.46512
21.182,6.97721,10.1697
7.86374,9.0923,9.21441
8.41988,4.56684,7.81768
18.658,11.8598,18.1256
8.34471,8.34327,10.2156
11.4888,3.10172,9.71992
8.29763,6.05853,5.37136
11.0253,8.6088,7.39971
8.27189,5.6835,2.92723
7.31149,3.51821,4.24268
21.0471,7.75211,10.9863
2.15147,2.94802,2.57656
9.47479,4.69715,4.65343
11.8077,7.50357,3.09706
11.9911,6.78502,13.8938
9.09519,8.90725,11.0324
11.673,6.94235,8.56712
16.1638,8.18507,11.848
19.2646,8.80853,11.8156
8.16116,3.50909,13.3747
6.22772,3.0697,5.54934
6.07559,3.56514,7.51913
-0.404733,1.81691,3.62155
9.55175,-0.396973,2.69093
8.23259,2.45143,5.6749
9.11284,3.8913,9.05971
13.8242,5.50732,4.33901
5.07291,1.02463,8.47841
7.52354,5.9138,4.314
14.341,10.7998,5.08241
19.6362,14.2073,23.4695
4.23493,3.22759,4.63402
15.41,9.18334,12.3684
12.005,6.48943,12.973
8.21028,1.27035,4.22557
8.29492,7.55233,11.7464
7.40404,10.7178,5.27632
3.77092,4.19742,2.74355
4.95428,10.746,6.95026
22.1274,13.1645,5.03187
4.58278,1.74904,1.88439
14.0224,6.43591,10.1995
18.1536,5.58155,9.72823
10.0309,4.71209,8.11446
25.0987,10.7809,15.671
6.73139,5.5773,4.1682
12.4189,9.62319,6.45361
9.05393,5.83977,14.3977
18.1074,14.3511,17.7876
10.1997,5.44144,9.04572
9.03928,2.76976,9.65757
4.36863,2.46695,3.35993
7.42062,6.03725,2.47383
14.9168,4.33663,5.82092
8.30747,2.33428,1.87293
3.68625,4.61445,4.95937
10.92,4.19336,8.83638
8.22313,5.09526,2.90284
6.88908,4.54327,9.65126
5.46502,0.099584,2.35554
45.2273,13.0815,25.7609
