P1(),P2(),P3()
1993.74,1374.92,554.452
465.54,330.346,118.276
1902.08,1327.14,501.066
1133.52,782.517,312.133
1557.26,1186.79,393.61
1370.49,978.506,348.361
1272.43,915.445,332.924
525.896,320.319,131.566
753.734,555.163,201.083
225.141,135.081,65.5251
388.104,328.575,107.812
1005.51,712.016,294.037
923.04,626.21,257.826
2474.81,1680.21,721.014
1172.61,795.449,302.773
8797.12,6133.52,2310.35
414.471,300.462,123.036
525.624,367.673,149.179
1089.62,733.632,317.974
1179.15,781.921,328.122
542.727,384.335,139.47
1258.06,839.013,346.416
2349.99,1744.33,696.381
527.469,358.602,123.164
886.75,619.616,245.355
290.303,181.617,70.3963
1825.47,1189.84,423.908
1069.86,695.255,264.296
914.441,612.643,229.702
310.231,244.192,96.2342
2527.69,1781.64,673.743
1114.28,729.462,287.436
494.69,368.714,137.776
523.227,340.059,120.408
1361.24,886.949,364.352
1328.29,909.071,371.767
1227.7,873.837,364.589
3387.36,2360.21,924.144
1195.81,841.739,318.369
2168.18,1607.92,637.248
547.587,407.937,167.809
2264.34,1581.41,576.137
2796.51,1953.93,782.361
903.523,695.904,225.834
1458.07,1028.12,445.539
730.248,519.996,189.239
2425.36,1718.73,664.113
2944.42,2194.52,832.307
919.567,618.852,230.998
994.341,710.265,267.653
377.464,270.572,111.762
1406.85,957.975,368.521
1682.39,1186.19,464.538
1024.98,721.531,232.035
786.584,515.609,188.802
1012.79,723.038,298.899
384.803,271.361,86.4611
1012.14,747.779,266.537
1919.11,1318.63,502.032
509.859,351.579,112.823
924.983,646.225,253.331
1237.74,889.806,336.177
657.761,417.399,171.066
966.267,692.887,302.337
1515.68,1059.84,394.808
1001.31,692.421,238.263
580.467,397.635,165.751
1235.03,857.294,325.757
1494.82,1079.22,400.651
1126.97,810.567,280.064
3514.11,2435.26,911.163
862.01,579.42,237.515
2053.77,1344.59,490.103
1400.5,953.6,387.749
1418.94,1005.29,365.676
731.679,526.897,203.25
491.932,363.323,138.144
645.516,440.959,198.167
2094.37,1465.12,564.372
445.72,310.737,135.364
485.584,341.724,136.563
561.486,428.616,148.054
1036.93,749.759,273.739
1229.95,836.261,354.698
670.599,482.835,183.782
2201.82,1575.58,546.764
847.202,547.601,211.278
1145.6,764.14,294.389
495.757,331.011,154.067
703.78,443.659,186.209
445.391,321.422,130.779
628.115,468.079,211.228
1054.79,706.399,294.293
1709.47,1209.43,479.846
433.419,351.718,115.109
2177.19,1464.99,579.169
699.486,513.572,182.632
1469.1,1055.98,405.477
2573.38,1835.04,750.789
942.318,639.324,248.212
1308.5,949.411,368.435
480.138,306.938,121.501
1012.03,684.592,237.96
2101.47,1472.69,572.657
384.453,283.74,90.9525
823.448,541.133,195.762
1562.34,1106.56,447.709
1142.09,769.194,339.869
3682.48,2541.61,1017.06
957.185,603.849,221.742
1841.83,1260.57,424.667
332.535,214.913,92.7558
4117.21,2886.81,1099.84
692.266,478.194,197.842
966.443,649.043,260.763
1639.91,1113.64,483.69
947.3,664.585,242.915
716.347,546.721,215.107
681.477,520.196,218.845
2315.19,1577.84,576.172
1398.16,985.045,379.033
645.753,462.957,154.765
716.934,464.057,183.115
435.219,291.244,105.934
2021.22,1437.48,555.895
1089.58,760.857,274.339
1478.39,1068.11,393.063
425.66,309.411,120.024
2139.51,1490.19,566.735
347.027,201.679,74.7947
1436.05,980.348,389.314
1055.23,722.89,269.458
818.21,612.668,194.948
1455.73,1093.13,412.008
414.379,312.143,113.308
1229.35,821.379,307.727
1030.72,706.993,282.706
306.573,218.245,87.6925
1167.05,823.821,291.963
923.655,622.975,245.286
952.318,642.683,253.78
1673.85,1147.73,468.874
539.591,374.394,145.913
549.538,389.441,162.315
1340.61,909.49,358.36
648.262,496.584,171.711
2970.14,2002.34,752.536
915.545,663.478,238.332
3863.6,2584.81,979.102
1018.91,744.087,284.988
1336.89,878.811,353.768
1246.35,922.99,376.618
1942.7,1391.06,505.543
981.608,727.729,279.998
1041.92,728.331,295.613
4603.05,3183.16,1294.31
989.952,659.062,244.578
2084.23,1380.7,544.231
2590.13,1850.21,716.09
2277.09,1584.68,567.064
1174.95,819.186,307.014
830.201,606.711,221.762
1411.16,946.368,384.886
860.681,598.191,211.05
2434.59,1725.8,680.73
777.857,527.959,198.176
683.398,452.421,178.047
1312.09,909.668,341.734
1153.54,795.459,309.26
884.28,657.295,281.053
1005.45,708.464,270.543
357.399,224.201,97.8988
1223.5,876.344,366.098
1223.88,803.18,319.201
1803.29,1184.23,462.608
6243.73,4345.25,1694.74
4231.52,3001.46,1101.46
1482.91,1076.51,420.884
590.081,449.023,176.417
1281.21,859.493,328.708
918.947,628.283,240.345
2064.73,1509,543.92
689.007,478.022,183.087
865.657,609.623,223.226
1075.48,694.258,264.594
1172.67,807.783,298.773
2597.87,1824.57,736.972
1137.4,776.967,300.173
754.833,489.568,199.071
976.326,729.142,312.071
988.772,711.817,231.783
1889.6,1364.69,529.814
544.238,357.675,133.873
1004.15,750.674,247.023
2814.54,1917.31,763.947
857.527,615.633,229.221
693.904,447.338,182.297
673.488,437.458,198.422
1624.39,1099.65,382.294
629.581,492.429,189.736
616.607,442.623,172.434
521.456,365.53,126.555
910.468,642.498,253.347
1058.75,686.164,280.206
947.171,678.916,265.236
354.031,224.71,93.3719
2871.38,1973.51,804.847
843.541,589.154,227.191
2311.99,1700.98,636.835
398.664,286.913,101.394
1538.41,1059.08,405.049
360.613,270.801,109.041
1257.65,796.546,325.822
2025.62,1316.62,499.833
1033.65,740.381,277.05
709.133,511.834,176.25
1100.02,771.812,304.107
531.258,333.608,158.836
2166.63,1441.78,546.505
1324.91,898.403,388.607
651.909,463.269,166.843
1831.5,1324.89,494.474
3449.47,2360.13,880.684
364.423,217.851,98.3185
820.615,582.795,207.636
325.288,208.622,82.6525
1352.89,956.015,369.983
372.361,231.325,88.3989
339.296,210.103,76.563
1141.45,795.153,302.876
3202.11,2247.64,877.728
721.696,544.86,190.718
1123.53,803.614,282.591
1419.23,904.151,354.849
1161.81,775.828,315.273
543.504,387.18,166.059
651.253,507.14,202.829
875.257,614.73,227.893
1073.26,745.573,279.855
4483.83,3062.37,1242.85
1196.76,772.139,305.766
1320.33,952.561,314.33
826.989,550.334,217.453
1843.59,1283.34,524.701
1288.27,889.802,312.664
3089.35,2187.75,736.38
840.338,597.002,209.486
896.659,614.682,242.215
822.495,582.293,190.419
845.257,570.923,236.496
1040.52,773.488,275.779
2500.46,1673.99,622.436
561.794,365.726,146.666
