Syk(),Vav(),SykVav(),pVav(),SHP1(),SHP1PVav()
78,2,35,1394,0,121
170,1,24,1723,0,109
178,3,53,1947,0,258
1,910,91,796,1,192
160,3,24,1695,0,149
75,6,43,1090,0,188
90,4,71,1728,0,243
291,1,52,1493,0,252
123,3,44,1321,0,213
110,7,45,1509,0,213
147,0,26,1724,0,178
285,3,22,1723,0,139
217,4,41,1893,1,253
124,0,27,1501,0,165
89,4,108,2348,0,281
140,3,51,864,0,246
276,1,36,1923,0,237
181,2,25,1433,0,144
160,4,58,1261,0,255
113,3,39,2003,0,133
83,8,53,1366,1,190
1,1281,110,1358,1,176
155,2,37,2452,0,167
5,223,93,672,0,262
214,1,53,1684,0,267
4,466,144,1524,1,283
137,6,41,1406,0,258
108,3,44,1485,0,195
188,0,31,1730,0,160
228,3,36,1238,1,147
216,0,15,1890,0,88
289,2,36,2251,0,193
172,1,36,1726,0,188
289,1,27,2848,0,116
115,3,57,1416,0,258
192,2,29,2261,0,140
272,2,40,2115,0,218
165,0,32,1072,0,125
1,2250,115,239,4,522
121,3,50,1298,0,260
176,1,29,1914,0,151
4,535,121,1147,1,305
148,12,108,331,0,601
3,487,126,1499,0,203
142,6,96,1896,1,458
142,3,56,2456,0,216
262,2,22,1310,0,140
259,0,25,1909,0,162
242,1,34,1711,0,164
103,3,27,1579,0,130
158,1,25,1651,0,161
357,2,25,2327,0,133
471,1,18,2867,0,101
42,13,98,1089,0,334
168,2,34,1685,0,180
3,397,178,2888,0,139
113,3,37,1881,0,168
290,2,21,1310,1,97
429,0,42,1785,0,226
130,1,60,1556,0,291
2,541,106,1151,0,227
19,53,68,1145,0,111
4,514,162,1856,0,285
290,3,37,1928,0,175
2,811,134,1924,0,175
2,668,157,1943,0,236
125,12,84,1970,1,409
274,0,41,2054,0,227
2,372,140,1200,1,368
95,9,78,1480,0,351
260,2,24,1182,0,176
84,4,41,1657,0,128
261,1,21,1744,0,105
280,2,28,1830,0,161
293,0,37,2480,0,197
146,3,43,2199,1,193
95,10,49,1934,0,156
5,322,107,1120,2,215
120,5,60,2032,1,281
117,3,59,2060,1,264
197,2,44,2420,0,202
84,5,49,1339,0,239
1,777,100,795,1,275
254,1,50,2007,0,276
143,0,43,1233,0,189
213,2,58,1588,1,336
223,2,36,2819,0,221
135,4,40,1491,0,215
270,2,39,2387,0,174
163,0,16,1929,0,73
119,10,71,1588,0,364
8,104,107,825,0,296
135,0,23,2009,0,134
352,0,12,1772,0,74
230,4,23,1943,0,136
164,1,33,1622,0,159
479,1,37,1659,0,204
167,2,26,1663,1,123
139,0,27,1756,0,108
203,1,31,1906,0,160
2,858,106,1168,0,199
18,176,118,1983,0,138
297,0,22,2823,0,101
76,6,50,1401,0,198
314,1,23,1458,0,173
124,4,34,1146,0,212
123,3,31,1552,0,181
476,1,57,2172,0,280
36,15,65,873,0,246
250,2,21,2173,0,131
7,160,96,991,0,195
259,4,63,2409,1,274
184,8,66,1947,0,401
268,0,16,3658,0,102
149,3,42,1804,1,243
342,1,88,2575,0,472
191,1,27,1276,0,126
88,5,58,1316,0,274
1,777,119,1439,0,191
11,170,108,1308,1,220
259,0,22,1789,0,129
122,8,95,2238,0,390
147,2,39,1886,0,175
0,519,132,1293,2,282
131,1,55,1428,1,358
243,4,46,1565,0,256
151,2,40,1361,0,225
138,3,34,1859,0,161
144,2,41,2354,0,161
135,0,32,1764,0,153
222,1,23,1804,0,140
167,6,54,1988,0,258
12,62,139,2194,0,151
0,1091,57,117,8,251
147,2,41,1778,0,200
206,3,26,2264,0,151
1,834,93,832,0,220
203,2,42,2348,0,215
183,2,38,2352,0,177
208,1,40,2344,0,256
334,2,31,2098,0,180
102,4,29,1609,1,154
4,562,126,1710,1,180
14,50,108,1654,0,159
32,16,96,1472,0,199
327,1,43,968,0,256
182,0,28,1780,0,130
51,25,111,1629,0,329
133,7,47,1634,1,246
142,3,21,1482,0,122
13,119,149,1834,0,315
159,4,29,1760,0,172
118,3,53,1758,1,271
115,7,40,1543,0,193
170,5,68,727,1,310
152,3,15,1920,0,128
1,399,115,1712,0,128
0,1353,83,283,1,319
272,0,38,2241,0,240
2,544,131,1872,1,186
282,2,64,3066,1,332
126,3,46,1355,1,204
148,2,36,2013,0,195
145,3,17,1151,0,143
135,4,32,1682,0,229
12,83,154,2661,0,119
186,1,31,1229,0,174
3,306,129,1630,0,190
150,2,37,1963,0,160
0,1492,75,702,1,161
1,1194,148,1757,0,252
306,0,54,1521,0,280
328,0,47,2498,0,241
184,0,23,1141,0,169
164,4,53,1712,0,242
216,2,71,1707,0,347
168,5,27,1853,0,139
20,48,112,1878,0,127
72,8,85,906,1,393
248,0,33,1890,0,134
75,5,41,889,1,186
205,2,63,3534,0,282
278,2,38,1538,1,217
163,2,65,3078,0,219
280,3,31,3083,0,128
2,394,116,987,0,317
119,4,31,1703,0,178
189,6,20,2414,0,110
280,2,22,2141,0,128
194,4,57,2277,0,274
175,2,36,1042,0,177
75,3,63,1063,0,297
115,4,27,1169,0,180
127,3,37,1091,1,199
88,1,67,2112,0,199
100,9,57,943,0,308
260,2,31,1606,0,192
1,471,125,1467,0,194
117,7,47,1182,0,224
169,4,56,857,0,250
207,4,34,2033,0,176
30,27,118,2054,0,169
177,1,26,1397,0,112
274,1,22,1961,0,143
572,0,42,2345,0,203
228,1,26,1781,0,226
150,4,38,1537,0,178
188,3,21,1892,0,105
0,951,118,728,1,372
189,4,24,1264,0,148
149,3,35,2513,0,155
169,6,26,1904,2,151
225,1,26,2743,1,112
246,1,16,1355,1,90
2,985,99,1205,0,150
233,0,34,1475,0,173
153,0,28,2406,0,143
107,1,20,1338,0,124
148,1,27,2222,0,153
109,4,36,1646,0,161
90,5,42,1229,0,206
346,2,31,2111,0,202
403,0,23,2461,0,111
163,3,60,1644,0,335
