NKG2D(),CD45(),pErk(),CD107a()
7.35,52.46,0.44,0.55
16.7,38.55,5.93,1.34
46.28,96.45,0.58,0.46
9.39,26.97,0.12,0.57
0.1,30.35,2.87,1.76
0.66,26.33,0.3,1.18
4.37,53.59,0.73,0.9
17.93,121.9,10.27,0.22
13.31,12.06,4.61,0.44
3.38,55.73,2.61,0.76
5.9,29.64,4.58,1
1.55,83.25,0.87,1.05
4.65,36.34,1.62,0.38
10.79,42,2.44,0.24
8.92,111.12,4.23,0.05
16.82,49.93,2.46,0.07
13.79,83.92,4.55,0.78
2.11,29.1,0.16,0.74
21.02,36.47,2.62,0.21
3.82,22.23,5.15,0.44
4.31,18.56,4.31,0.73
6.38,27.44,0.27,2.09
0.39,62.24,0.13,0.64
9.41,34.25,0.23,0.25
17.7,58.93,0.15,2.45
3.52,67.48,2.31,0.4
1.88,89.65,0.22,0.39
9.27,27.48,3.69,0.84
32.96,43.6,8.02,0.31
3.69,23.61,2.13,0.85
6.79,45.79,0.03,0.82
11.13,121.05,5.86,0.37
2.83,76.7,2.62,0.34
11.38,35.24,5.82,0.91
0.24,40.89,0.43,0.43
0.8,71.54,4.58,-0
3.13,22.09,1.88,0.72
7.88,63.96,4.46,0.91
12.43,80.17,3.62,2.15
12.62,73.36,0.44,0.6
10.36,39.38,0.19,2.83
2.88,56.66,1.95,0.7
1.41,44.96,0.31,1.75
10,40.43,0.45,-0
18.32,61.63,0.16,1.39
4.09,22.2,1.71,0.33
8.98,140.66,3.24,0.02
22.57,31.96,0.84,0.7
4.36,23.64,2.01,0.61
3.16,59.98,1.57,0.59
6.08,51.77,0.56,0.13
1.77,28.8,3.8,5.56
11.72,82.65,9.48,0.06
12.23,39.83,1.18,0.27
0.65,69.98,1.19,52.25
3.01,66.08,5.43,0.44
1.2,49.37,4.87,0.44
8.75,33.72,2.54,0.3
5.89,63.33,9.84,1.95
9.05,56.84,4.43,0.14
15.58,62,4.49,1.7
1.96,41.37,1.3,0.53
4.46,71.66,0.61,0.05
19.86,37.75,4.54,0.2
2.55,72.1,0.77,0.55
0.07,31.14,2,0.52
7.16,103.28,1.2,0.12
3.08,47.85,2.16,0.94
2.1,74.73,5.27,2.68
0.85,67.03,1.19,0.33
9.95,32.56,2.99,1.43
15.27,100.21,0.05,0.68
13.22,91.78,6.4,0.91
0.22,53.21,7.48,0.4
4.84,87.77,4.42,0.71
6.67,69.3,1.13,0.94
3.73,54.68,0.62,0.12
0.29,18.97,0.88,0.15
7.5,42.22,8.32,0.41
2.63,33.62,1.31,0.53
2.61,43.51,1.54,0.03
2.32,45.81,1.78,0.87
6.09,44.44,2.28,0.85
0.69,57.79,8.82,0.85
11.33,49.91,3.37,0.38
7.77,80.55,1.87,0.12
13.46,33.97,12.7,0.39
9.54,50.63,2.72,0.38
7.84,62.54,2.72,0.15
23.36,98.57,0.81,1.79
12.29,87.12,5.08,0.45
6.72,135.76,11.05,0.7
20.66,68.49,0.38,0.33
4.28,43.83,17.61,0.43
8.05,37.21,8.78,0.88
5.52,72.44,3.75,0.69
14.52,79.91,4.23,0.65
15.7,38.49,5.59,1.24
3.61,50.06,0.78,0.03
5.28,49.16,3.21,0.83
12.57,51.73,6.6,0.87
1.24,20.07,11.37,0.4
3.46,88.65,3.68,3.49
0.24,26.55,123.23,0.78
8.76,61.18,9,0.42
9.73,39.85,0.58,0.7
16.77,40.31,2.71,8.55
8.99,61.25,0.58,0.44
13.77,63.09,0.84,-0
7.4,43.69,4.04,0.49
20.26,71.08,6.21,1.68
0.69,66.54,2.91,0.43
18.38,52,0.85,0.97
12.59,71.3,1.37,0.98
1.6,24.67,0.06,0.19
32.95,18.99,7.74,0.15
13.2,60.88,5.04,0.54
31.72,75.81,0.31,0.18
7.81,67.48,3.58,0.59
8.05,52.75,0.21,3.24
5.32,45.89,4.49,0.26
25.33,52.93,0.49,0.86
2.17,40.25,8.73,0.62
5.34,85.58,3.34,0.34
16.37,52.87,0.03,1.2
11.21,62.3,2.88,0.59
16.42,36.89,5.43,1.04
16.11,148.98,13.47,1.51
5.25,67.15,2.96,0.05
19.34,105.85,1.71,1.25
6.8,61.66,1.35,0.09
1.02,29.38,2.05,0.25
8.97,28.78,1.81,0.56
2.39,41.1,5.79,0.62
4.38,27.71,0.22,0.8
17.64,22.16,6.33,0.05
8.38,44.26,4.4,0.66
1.91,142.48,4,0.57
6.68,71.63,5.1,2.28
29.02,34.02,4.73,0.73
4.94,58.96,1.87,0.66
23.02,29.57,2.07,1.77
6.27,50.45,3.15,0.02
7.53,56.65,0.19,0.59
6.99,42.04,6.05,-0
1.66,73.01,2.93,0.49
0.78,46.1,0.98,0.94
13.78,43.24,1.82,1.82
25.63,42.91,1.16,0.3
7.81,61.2,10.37,2.18
4.11,48.08,0.14,0.05
1.88,35.74,0.63,0.37
30.15,59.84,7.81,0.89
16.15,63.44,2.97,0.31
6.26,46.3,2.78,0.64
1.99,54.06,1.03,0.73
3.21,28.01,0.42,-0
2.24,32.08,10.59,0.59
1.89,43.77,0.5,0.18
18.78,37.87,8.18,0.15
7.06,67.53,0.83,0.84
8.78,42.42,1.58,1.66
5.18,57.23,0.64,0.37
1.77,19.65,2.57,0.74
8.99,99.52,10.36,2.95
7.99,63.01,6.14,0.69
47.96,19.97,4.93,1.87
8,22.65,11.14,1.33
2.97,39.83,5.26,0.77
4.79,59.49,0,-0
7.82,23.7,0.43,0.7
57.57,30.85,6.08,0.62
6.86,31.99,0.31,0.78
11.08,93.27,1.15,1.08
15.35,55.82,6.24,0.64
5.23,39.78,0.35,0.58
18.07,80.66,0.56,0.62
3.47,38.83,6.06,0.64
13.19,53.15,1.48,0.89
0.78,43.1,7.32,1.37
12.18,97.47,4.1,0.53
15.45,40.68,1.86,0.93
2.93,40.19,1.55,0.6
7.39,33.3,0.23,0.1
8.54,47.63,2.01,0.14
12.57,57.28,1.99,0.82
17.83,44.68,2.39,0.7
6.44,59.97,3.49,0.34
5.73,24.8,4.17,-0
8.22,50.21,0.9,0.95
2.61,100.98,3.35,0.38
9,39.64,0.87,0.83
7.08,47.16,0.62,0.02
6.93,37.25,8.16,0.64
9.36,112.17,8.68,0.71
7.64,26.03,0.84,0.71
13.2,73.09,0.24,0.78
21.82,47.04,3.12,1.14
8.78,96.75,0.2,0.86
7.27,71.63,3.84,0.13
7.81,88.35,0.7,40.44
22.63,28.28,5.7,0.74
7.51,79.64,4.64,1.51
4.61,27.5,6.09,0.18
1.52,23.68,0.78,0.35
20.44,16.14,1.94,0.26
21.91,18.55,35.45,0.16
5.89,40.49,0.05,0.54
16.94,98.71,1.41,1.68
9.37,51.34,4.2,0.35
4.56,42.41,1.04,0.72
15.52,126.79,0.01,0.96
2.82,32.96,0.25,0.15
2.63,115.41,0.93,0.16
2.58,40.14,3.69,1.91
1.84,34.57,1.69,0.43
1.01,50.91,2.12,0.41
2.25,11.43,0.05,0.47
9.43,37.51,0.24,1.86
9.82,32.73,1.98,5.12
17.68,88.25,4.93,8.17
2.07,43.52,68.78,0.84
3.65,21.96,7.86,0.64
33.3,24.5,0.22,0.3
8.47,26.49,1.18,0.69
0.6,20.71,0.65,13.02
5.19,41.13,1.12,20.22
21.15,20.01,0.52,2.7
0.43,19.67,0.77,0.52
7.89,37.28,1.16,0.77
10.24,42.04,0.56,0.82
4.66,20.44,2.51,0
5.81,40.48,3.44,1.84
2.28,127.51,35.93,0.28
3.28,34.53,0.16,0.22
3.42,17.95,1.24,0.57
15.65,47.53,5.22,2.14
17.12,47.69,1.65,0.92
6.87,63.14,4.54,1.11
9.14,77.58,2.37,1.57
3.93,61.78,0.92,0
7.19,46.49,6.37,-0
4.19,35.61,38.77,1.05
5.95,47.39,6.52,1.51
2.39,16.01,1.07,0.92
5.08,23.82,8.77,0.63
10.04,52.12,1.93,0.03
3.38,39.24,3.85,0.34
17.89,41.91,4.45,0.81
4.97,38.57,1.93,2.04
13.39,58.32,6.63,1.05
14.41,97.42,1.18,0.66
1.59,25.74,1.58,0.8
17.94,56.26,4.38,0.65
19.5,16.12,0.66,0.02
12.84,33.24,2.07,0.83
3.11,18.1,7.77,0.81
10.75,38.21,8.19,1.88
13.57,43.79,4.26,1.38
6.49,18.49,2,3.21
11.15,35.3,12.19,0.56
11.99,16.61,0.57,0.44
4.1,27.06,9.46,1.78
4.12,39.6,4.77,0.49
19.77,61.67,6.44,1.37
1.31,21.82,2.06,0.85
6.24,48.5,0.1,0.98
5.33,35.41,0.61,3.91
14.88,67.76,3.14,4.97
9.84,30.73,0.9,1.04
12.59,35.28,3.78,0.2
2.76,93.33,3.12,0.2
17.19,53.38,4.75,0.09
5.77,88.09,0.88,0.62
8.98,38.81,4.08,0.2
0.58,30.64,0.86,0.2
4.68,31.66,1.18,0.77
0.14,58.06,0.66,0.34
15.35,42.61,0.86,2.77
2.34,71.81,0.7,0.59
2.29,13.59,1.93,0.17
30.01,125.61,1.7,0.8
7.07,59.23,7.21,4.57
9.09,51.95,3.82,0.42
15.51,42.59,4.3,0.7
10.45,90.07,1.87,0.48
5.31,59.64,5.6,0.02
1.3,52.12,4.9,0.08
2.37,72.78,0.45,4.53
13.56,62.83,0.46,0.99
2.06,53.11,0.61,-0
7.17,76.04,2.44,0.89
18.79,74.23,0.28,0.99
15.52,34.82,3.14,0.25
11.96,51.89,1.4,2.17
8.89,24.73,2.48,1
17.15,47.38,5.09,0.11
18.51,35.56,1.49,1.27
2.36,58.09,4.13,0.66
4.96,36.95,2.28,0.57
7.28,64.66,2.39,0.35
11.76,46.91,1.41,0.51
16.01,28.81,5.45,2.5
10.84,75.46,4.88,12.52
4.08,65.05,3.65,0.45
6.94,20.68,8.52,0.42
9.04,88.45,7.12,0.72
5.69,29.45,0.32,0.91
35.33,18.5,7.2,0.51
3.45,36.09,1.52,0.03
5.07,52.81,6.86,0.61
4.43,52.72,2.94,1.92
15.05,54.41,1.74,0.91
5.87,101.75,2.11,0.81
6.59,43.54,0.86,0.19
12.14,55.16,305.99,16.56
6.14,41.61,3.39,5.67
1.73,75.51,0.47,0.08
4.94,57.47,12.14,0.55
22.59,33.3,0.9,0.47
2.61,48.87,0.64,2.62
4.74,93.82,2.36,-0
12.33,40.24,3.35,0.79
4.04,79.07,2.64,0.1
4.04,15.88,4.01,0.81
11.85,69.86,5.69,0.77
7.41,57.73,14.09,1.01
6.04,78.88,8.87,0.96
0.74,48.87,1.41,26.86
5.34,105.75,5.76,1.06
3.76,94.53,3.83,0.35
10.26,36.75,2.2,1.19
7.47,121.56,2.16,0.21
6.66,98.71,1.16,1.08
28.56,20.23,0.76,0.75
11.12,37,34.98,0.35
10.52,45.16,0.06,0.01
7.02,55.24,0.57,4.35
16.78,32.97,0.62,0.31
31.05,45.67,3.94,0.64
12.04,63.44,0.12,1.35
6.69,36.3,1.06,0.75
2.9,36.27,0.37,0.35
3.89,63.9,4.26,0.39
15.1,34.13,0.01,0.8
21.26,104.19,0.07,0.88
4.76,59.85,8.91,3.05
5.85,57.71,3.19,0.29
4.29,46.96,2.12,5.18
4.16,57.51,1.15,0.73
18.26,31.91,0.89,0.69
15.3,57.34,1.68,2.74
12.51,21.23,1.17,0.55
4.32,34.43,6.72,0.79
4.65,42.08,2.07,1.23
25.34,47.22,2.02,0.67
0.68,48.1,1.1,0.93
8.33,11.46,2.16,0.61
20,46.99,17.68,0.64
14.21,98.29,1.05,3.44
11.53,38.29,4.47,9.5
4.58,63.31,1.63,0.6
6.06,59.63,2.22,0.79
5.59,18.66,2.11,0.55
15.17,79.58,3.96,0.54
4.8,26.71,3.85,0.59
2.17,40.83,9.4,0.26
4.72,35.25,0.29,0.73
12.39,70.46,3.25,0.54
5.24,89.78,9.56,1.24
1.22,39.99,0.81,0.17
13.96,39.67,0.86,0.34
19.28,46.35,17.21,0.24
7.57,14.09,1.98,0.8
5.32,44.78,0.87,0.41
16.16,52.52,3.25,0.64
7.33,36.61,0.5,1.22
3.25,44.27,1.17,1.21
4.9,28.78,3.65,0.94
2.98,10.11,0.1,0.32
7.75,38.42,7.04,2.51
5.18,54.64,3.93,0.1
3.56,40.33,2.19,0.26
6.5,40.21,0.95,0.29
17.63,77.83,0.09,0.59
4.45,108.79,5.48,0.26
5.66,13.69,5.63,0.71
13.59,37.55,2.57,0.28
12.67,12.72,0.48,0.6
3.59,66.21,0.14,0.47
8.62,64.16,1226.59,0.89
3.55,28.66,5.78,2.28
6.26,71.8,0.62,0.31
6.75,91.61,4.98,0.58
8.12,29.38,2.43,0.13
3.14,32.78,13.22,0.55
5.8,47.81,0.98,0.19
8.29,47.62,3.74,0.29
10.48,60.53,0.3,23.43
4.04,36.82,8.05,0.31
16.18,61.74,4.87,1.21
23.62,130.84,10.93,0.45
19.76,41.54,4.55,-0
1.26,26.52,2.64,0.56
15.32,56.88,2.19,29.48
10.11,67.63,0.73,0.35
7.91,55.56,1.28,2.98
11.59,93.18,2.23,1.44
7.81,40.05,1.38,1.66
1.68,15.8,1.18,0.16
3.14,22.09,0.36,1.71
13.01,27.52,5.39,0.19
23.9,29.94,1.73,4.76
15.74,64.51,10.85,0.34
12.63,61.65,1.85,1.14
